tick,Ri_ALPHA,Ri_GAMMA,Ri_THETA,Rm
477,0.0010415988542411547,0.0005157962604771527,0.017652827721477582,0.0017187599465273706
476,0.006222979169396181,0.009502733663108609,0.003279763857002349,0.0010437587620801825
475,0.0022321428571427937,0.008136482939632428,0.0016425755584756896,0.0010294357020617095
474,-0.0005249343832022246,-0.007295466388744121,-0.011688311688311637,-0.0021466386886627165
473,-0.0035959463877083264,0.034640787168082054,0.02393617021276606,0.0034822638018567886
472,0.0005887740416066212,-0.03536601222207769,-0.029677419354838808,-0.004680477912967329
471,-0.0007190952474340762,0.005096706743335178,0.005514109633473874,0.000421091416314745
470,-0.0018922093174996713,-0.011624903125807329,-0.017213898629263702,-0.0019175455417066445
469,0.002420040552030933,-0.01651422764227639,-0.013211701793016561,-0.0018811654049093463
468,0.0015722240419258071,-0.010184835910976964,-0.005630278385986842,-0.00030141995006915945
467,-0.000589236611234778,-0.015474127259222592,-0.016307692307692356,-0.0027749522442480634
466,-0.00019637363356683757,0.003478260869565153,0.002158495220474954,0.0007978358158524657
465,-0.0011115470118999715,-0.014205241244183209,-0.001231906375115499,-0.0009473491645906051
464,0.0011127839235451908,0.0006126700159294618,-0.003376304481276793,-2.395538201205305e-05
463,0.0010484240875434647,-0.014728962936134238,-0.015412511332729029,-0.002177366256038371
462,0.003023332237923171,-0.011811023622047223,-0.008984725965857976,-0.0020536240935428163
461,-0.0020333202151383567,0.013175389822313477,0.021725826193390585,0.0028685324814001767
460,-0.0022904260192395665,0.007428153921090974,0.01333333333333342,0.0014592276547598093
459,-0.0013071041108423387,-0.0037607667111488885,0.0,-0.0003940539222515582
458,0.0035416803305567957,-0.019624167459562192,-0.021541262135922334,-0.0019056724720506457
457,0.00026241553499972703,-0.0008318478906714777,-0.0021192854980320863,-0.00032583549651898913
456,-0.006647116324535518,-0.009067357512953289,-0.0027173913043476716,-0.0008854877670299022
455,-0.005637636080870978,0.017371510722415273,0.010064043915827936,0.0015106462522931352
454,0.0021429962984609308,-0.006782484531175692,-0.006965475469412619,-0.0010617578280212037
453,0.003780718336483968,-0.022790697674418547,-0.019305019305019266,-0.002698120194108755
452,-0.002276274713839732,0.0038519901949340962,0.0059755004481625296,0.00015593494913690442
451,-0.0001950712009883837,0.005870611717740948,-0.009177027827116713,-0.0012394441752612284
450,0.00516339869281035,0.006499645473883264,-0.0038336773813033576,0.00015360218764137734
449,0.0001961168856638995,0.002487856888994333,-0.002647058823529558,0.00021422358017364473
448,0.0021619496855347364,-0.008806951620479064,-0.005847953216374324,-0.0009339207810343808
447,0.004805476927127739,0.0054309327036599075,0.01574101574101583,0.0015220963792292874
446,-0.0003948147660722823,0.007613609326671433,-0.0002969121140141695,-0.00025974981763399185
445,-0.0007233035244609276,-0.023579974445347873,-0.01778944298629337,-0.0023322960374723145
444,-0.002296135931247112,0.009143125073262315,0.0014602803738317238,0.0006893660425635328
443,-0.0022908757690797144,0.014870330716155067,0.018138566755872665,0.0027694348012636816
442,0.0006549646319098379,-0.025955967555040482,-0.027472527472527375,-0.0035413058781360585
441,0.004473684210526407,-0.011794343295545628,-0.01845018450184499,-0.002264320046880486
440,0.0023740437879189447,0.013461761633979386,0.01791389771742269,0.0025985303075466426
439,-0.0022371364653244186,-0.0009275362318840186,0.0014467592592590783,0.0007587499432559763
438,0.0025065963060686425,-0.009645194626248799,-0.010875787063537312,-0.0008855042946959157
437,-0.001909276450062447,0.017050099264276586,0.004889272361230823,0.0010615711252652815
436,-0.00282300420168069,0.0038686987104337156,-0.0008620689655171043,0.0008027679265001364
435,-0.0026844758724546836,0.020701208567667884,0.01754385964912264,0.002712079166675707
434,0.00420803471628628,-0.008306633440132938,-0.01497695852534553,-0.0021714468807371157
433,-0.004516297944757164,-0.005311614730878267,-0.002012072434607659,7.577906289446545e-05
432,-0.001307360439273042,0.00462468872287447,0.0037507212925562694,0.0005567446253562647
431,-0.003257753453218659,0.013094666025948998,0.011675423234092097,0.0016947644581200016
430,0.0032028237139680726,0.018974170645121857,0.00883392226148394,0.0017433683528647048
429,6.536802196377423e-05,0.009016798418972405,0.004139562389118945,0.0011447150508268056
428,0.0016368755319844386,-0.002955665024630627,-0.00470865214832239,-0.0010391733571605277
427,-0.0005235259472547993,0.0035842293906811484,0.006814814814814829,0.0008899584831103535
426,-0.00559640788703053,0.019788253087975605,0.010176593834181569,0.0024779903846994245
425,-0.0017539301026374687,0.012764871074802064,0.017356881851400496,0.0018794692029300286
424,-0.002914696547703821,-0.008354430379746813,-0.013517572844698011,-0.0009977447039841714
423,0.0,0.00025322866548482814,0.0003004807692306155,0.0003472571056666318
422,-0.0057315816589388335,0.00496246341773765,0.009708737864077666,0.0018225935966358353
421,0.0018710884573198694,-0.028673835125447966,-0.030303030303030387,-0.005245390694546437
420,0.004081368230111293,0.005093167701863299,0.008605341246290754,0.001903711037162914
419,0.006192555895965235,-0.007642998027613479,-0.01259888661002051,-0.0013023328745406237
418,0.001240046991254351,0.008578888474449764,-0.0029214139643586323,0.0003856217551672092
